method,n_clusters,silhouette,calinski_harabasz,davies_bouldin,eps,min_samples,noise_ratio,n_components
DBSCAN,4.0,0.6851441866416679,173.8264943851614,1.8942884511730969,0.4,5.0,0.0011499637974360067,
DBSCAN,2.0,0.6831068267960065,544.8576770216871,0.833907594468585,0.4,7.0,0.002172153839601346,
DBSCAN,5.0,0.6776206326139151,121.81490439000179,1.7223437221215352,0.4,3.0,0.0008944162868946718,
Agglomerative,2.0,0.5779378041844137,23330.48041326066,0.6750104578357286,,,,
KMeans,2.0,0.5724530437208256,23435.82018816331,0.6891531367839996,,,,
DBSCAN,4.0,0.4685253903466675,347.3913296728748,2.014877411110496,0.3,7.0,0.004131351420418246,
DBSCAN,12.0,0.4673967565778873,142.3119273144939,3.6476277549951024,0.2,5.0,0.005451680224881809,
KMeans,4.0,0.4526349967293783,30769.731064314255,0.6917536815951706,,,,
KMeans,3.0,0.4372090142011123,27657.161569691423,0.7539317603701751,,,,
GaussianMixture,,0.42879475674962103,17349.353017556474,0.9482650575024756,,,,2.0
DBSCAN,8.0,0.42119843166600274,131.78707055152378,3.2880593355616035,0.3,5.0,0.002427701350142681,
Agglomerative,4.0,0.3975542420323217,23511.749266787847,0.7386246702343864,,,,
DBSCAN,10.0,0.3973451225349565,95.89951610960433,3.5018859841664933,0.3,3.0,0.0014906938114911197,
Agglomerative,3.0,0.39678318046997263,24567.289838338962,0.8335580326175802,,,,
DBSCAN,22.0,0.23079844123942328,78.04501750965417,3.5234836831491054,0.2,3.0,0.0029813876229822394,
GaussianMixture,,0.20988945114404914,15263.181999759454,1.322601828978783,,,,3.0
GaussianMixture,,0.18612083259827086,15066.887871981693,1.3674135114834756,,,,4.0
DBSCAN,8.0,0.16531821538775343,267.46405722058074,3.0965107436726935,0.2,7.0,0.008007155330295158,
DBSCAN,35.0,-0.18994378742479862,305.4474819727781,1.9783753182308164,0.1,7.0,0.04932066953447762,
DBSCAN,46.0,-0.3693414153475444,85.67479533940146,2.6621481628569668,0.1,5.0,0.03100643127901529,
DBSCAN,73.0,-0.5760901544919963,54.687038918023454,2.8837469941085474,0.1,3.0,0.01856978576600366,
